date, 42度海之蓝, 北冰洋汽水 ,38度剑南春 ,50度古井贡酒,52度泸州老窖 ,53度茅台,一品香酥藕,三丝鳝鱼,三色凉拌手撕兔,不加一滴油的酸奶蛋糕,五彩藕苗,五彩豆,五色糯米饭(七色),五香酱驴肉,倒立蒸梭子蟹,党参黄芪炖牛尾,农夫山泉NFC果汁100%橙汁,冬瓜炒苦瓜,冰糖红豆薏米粥,冰镇花螺,凉拌海带豆芽紫菜,凉拌菠菜,凉拌萝卜丝,凉拌蒜蓉西兰花,剁椒鱼头,南瓜枸杞小饼干,南瓜芝士包,咖啡奶香面包,哈尔滨啤酒罐装,啤酒鸭,土豆西红柿汤面,培根紫菜卷,培根花菜,大理石奶油蛋糕,大蒜苋菜,姜葱炒花蟹,孜然羊排,宝宝版牛肉肠粉,小炒羊腰,小米南瓜粥,山药养生粥,干锅田鸡,广式虾仁肠粉,张裕葡萄酒张裕赤霞珠干红,快炒黄鳝,意文柠檬汁 ,打卤面,拌土豆丝,木须豌豆,杭椒鸡珍,核桃葡萄干土司,桂圆枸杞鸽子汤,桂圆肉红豆八宝饭,水煮鱼,油焖麻辣虾,法国波尔多AOC干红葡萄酒原,泡椒凤爪,海带结豆腐汤,清炒菊花菜,清爽拌凉面,清蒸海鱼,清蒸蝶鱼,炝炒大白菜,焖猪手,照烧鸡腿,爆炒双丝,爆炒猪肝,爆炒鳝碌,爆炒鸡翅,牛奶卷,牛尾汤,牛肉鸡蛋肠粉,特醇嘉士伯啤酒罐装,独家薄荷鲜虾牛肉卷,玉竹南北杏鸭腿汤,番茄有机花菜,番茄炖牛腩,番茄炖秋葵,番茄甘蓝,番茄蛋汤,白斩鸡,白胡椒胡萝卜羊肉汤,白饭/大碗,白饭/小碗,百威啤酒罐装,百里香奶油烤紅酒牛肉,百里香奶油烤红酒牛肉,皮蛋瘦肉粥,盘蟹蒸蛋,糖醋蕃茄溜青花,紫薯面包卷,红酒土豆烧鸭腿,红酒炖羊肉,纸杯蛋糕,美妙绝伦之白莲花,老式面包,肉丁茄子,自制猪肉脯,芝士烩波士顿龙虾,芝麻烤紫菜,花蛤蒸蛋,芹菜炒腰花,芹黄鳝丝,葡萄奶酥(超酥香的饼干),葱姜炒蟹,葱油凉拌藕片,蒙古烤羊腿,蒜蓉生蚝,蒜香包,蒜香辣花甲,蓝带啤酒罐装,蛋挞,西瓜胡萝卜沙拉,谷稻小庄 ,豌豆薯仔猪骨汤,超人气广式肠粉,路易拉菲红酒干红,辣炒海带丝,辣炒田螺,辣炒花蛤,辣炒鱿鱼,避风塘炒蟹,酸辣汤面,酸辣藕丁,重庆特色油烧兔,金玉良缘,铁板牛肉,长城窖酿解百纳红酒干红葡萄酒,露露无糖杏仁露,青岛啤酒罐装,青炒扁豆,香烤牛排,香菇鸡肉粥,香菇鹌鹑蛋,香辣爆羊肝,香辣腐乳炒虾,香酥两吃大虾,鱼香肉丝拌面,鲜美鳝鱼,鸡蛋、肉末肠粉,麻辣小龙虾,黄尾袋鼠西拉子红葡萄酒,黄油曲奇饼干,黄花菜炒木耳,黑米恋上葡萄,All
2016-08-01,99.0,15.0,,90.0,,128.0,10.0,,,,70.0,,105.0,52.0,169.0,,12.0,,15.0,,,135.0,,116.0,220.0,19.0,20.0,,,144.0,,60.0,70.0,13.0,150.0,,88.0,15.0,36.0,13.0,57.0,264.0,,,,26.0,,,64.0,,,144.0,78.0,260.0,195.0,159.0,,,30.0,30.0,78.0,,87.0,174.0,16.0,,68.0,110.0,56.0,,40.0,,12.0,135.0,,64.0,35.0,70.0,66.0,75.0,176.0,35.0,100.0,3.0,12.0,,356.0,64.0,55.0,33.0,20.0,,216.0,8.0,87.0,,39.0,96.0,700.0,25.0,37.0,36.0,,,436.0,30.0,192.0,98.0,13.0,45.0,,8.0,52.0,190.0,156.0,,158.0,,,,174.0,96.0,,99.0,138.0,60.0,,35.0,21.0,21.0,,55.0,60.0,117.0,112.0,112.0,89.0,36.0,,,297.0,46.0,32.0,,33.0,9366.0
2016-08-02,,5.0,,,,,10.0,,66.0,7.0,,29.0,140.0,52.0,169.0,,,,15.0,,,27.0,,,110.0,19.0,,,,192.0,26.0,60.0,,13.0,30.0,45.0,264.0,,,39.0,,176.0,18.0,64.0,,26.0,,,64.0,,19.0,96.0,39.0,260.0,130.0,,,,,,234.0,112.0,29.0,116.0,32.0,,68.0,55.0,,,,,,,,96.0,,,33.0,25.0,88.0,35.0,50.0,3.0,6.0,,178.0,32.0,,,,48.0,216.0,8.0,87.0,,39.0,,350.0,50.0,,54.0,,,218.0,,48.0,49.0,,45.0,,32.0,52.0,152.0,39.0,,158.0,19.0,35.0,,58.0,,16.0,,,,132.0,,21.0,,28.0,110.0,15.0,78.0,,112.0,89.0,,,,297.0,,,35.0,33.0,6125.0
2016-08-03,,,,,,,,,,,,,70.0,52.0,,,6.0,,30.0,,,216.0,,,165.0,19.0,10.0,,7.0,,,30.0,,39.0,,225.0,264.0,30.0,,13.0,19.0,176.0,,32.0,,26.0,26.0,,32.0,,,96.0,,325.0,65.0,159.0,,,,30.0,,,87.0,406.0,16.0,,68.0,,,,,,,135.0,35.0,32.0,70.0,35.0,,,88.0,35.0,30.0,5.0,,,178.0,,55.0,66.0,,,108.0,,29.0,,39.0,192.0,175.0,50.0,37.0,72.0,58.0,9.0,,,144.0,,26.0,180.0,9.0,8.0,26.0,114.0,156.0,,158.0,,35.0,,406.0,,,66.0,,30.0,,35.0,7.0,,28.0,110.0,15.0,,56.0,56.0,178.0,,,,693.0,,16.0,,66.0,6890.0
2016-08-04,,5.0,80.0,,318.0,,,,66.0,7.0,,,105.0,,507.0,35.0,,,15.0,,,108.0,20.0,29.0,165.0,19.0,10.0,,7.0,,,30.0,35.0,13.0,30.0,90.0,440.0,,,26.0,,88.0,,,50.0,,,25.0,,,19.0,96.0,39.0,195.0,65.0,159.0,116.0,,60.0,,156.0,,29.0,116.0,,,136.0,55.0,,,,,,,,,35.0,35.0,33.0,,88.0,,50.0,3.0,,,178.0,,55.0,,,,,8.0,29.0,38.0,117.0,96.0,875.0,,37.0,,116.0,,109.0,60.0,192.0,49.0,,45.0,,8.0,78.0,152.0,78.0,,,38.0,35.0,,116.0,48.0,16.0,66.0,138.0,,,,7.0,,28.0,55.0,15.0,78.0,56.0,56.0,178.0,36.0,110.0,13.0,297.0,,,35.0,,7549.0
2016-08-05,99.0,,,,,128.0,10.0,,,,,,105.0,52.0,338.0,35.0,6.0,,,,35.0,189.0,40.0,58.0,275.0,19.0,10.0,,14.0,48.0,,30.0,35.0,,60.0,45.0,440.0,15.0,72.0,13.0,38.0,88.0,54.0,,,65.0,,25.0,,58.0,,48.0,78.0,130.0,65.0,,,,30.0,45.0,468.0,112.0,29.0,116.0,32.0,,272.0,,56.0,,80.0,20.0,,45.0,,96.0,35.0,35.0,,25.0,,,40.0,5.0,12.0,,178.0,16.0,,,20.0,,108.0,,58.0,,,144.0,350.0,50.0,37.0,36.0,,9.0,327.0,,288.0,49.0,13.0,45.0,9.0,8.0,26.0,266.0,117.0,,,19.0,35.0,,232.0,48.0,,33.0,,90.0,,,14.0,7.0,28.0,165.0,,39.0,56.0,224.0,267.0,36.0,110.0,,594.0,46.0,,35.0,66.0,8671.0
2016-08-06,,55.0,80.0,90.0,159.0,256.0,40.0,55.0,,,105.0,29.0,665.0,104.0,1183.0,70.0,18.0,58.0,60.0,35.0,70.0,594.0,120.0,377.0,495.0,57.0,40.0,16.0,14.0,240.0,,300.0,175.0,26.0,240.0,360.0,1320.0,15.0,144.0,26.0,38.0,88.0,72.0,64.0,50.0,130.0,52.0,125.0,96.0,58.0,38.0,240.0,234.0,520.0,195.0,636.0,174.0,90.0,30.0,45.0,546.0,112.0,232.0,928.0,16.0,280.0,748.0,55.0,336.0,34.0,120.0,40.0,,225.0,70.0,256.0,280.0,35.0,264.0,125.0,792.0,245.0,220.0,20.0,,,712.0,80.0,330.0,330.0,40.0,48.0,540.0,8.0,319.0,19.0,312.0,480.0,2800.0,150.0,185.0,126.0,174.0,27.0,109.0,60.0,432.0,147.0,13.0,450.0,18.0,96.0,182.0,456.0,312.0,,948.0,38.0,175.0,210.0,812.0,144.0,32.0,132.0,69.0,270.0,,35.0,14.0,14.0,112.0,220.0,,78.0,56.0,448.0,623.0,36.0,110.0,13.0,1485.0,184.0,,210.0,99.0,32167.0
2016-08-07,,10.0,160.0,90.0,318.0,,30.0,,66.0,21.0,70.0,58.0,525.0,156.0,676.0,70.0,24.0,,90.0,,70.0,540.0,200.0,261.0,330.0,38.0,30.0,16.0,21.0,192.0,13.0,300.0,105.0,26.0,150.0,405.0,880.0,30.0,144.0,52.0,152.0,352.0,18.0,96.0,100.0,26.0,26.0,125.0,96.0,116.0,38.0,192.0,156.0,325.0,715.0,477.0,174.0,90.0,210.0,105.0,312.0,336.0,174.0,638.0,16.0,385.0,612.0,,224.0,34.0,120.0,80.0,6.0,225.0,105.0,128.0,315.0,175.0,66.0,100.0,352.0,210.0,260.0,11.0,12.0,,890.0,128.0,275.0,231.0,60.0,192.0,756.0,40.0,174.0,38.0,117.0,336.0,2800.0,150.0,185.0,216.0,116.0,45.0,327.0,120.0,240.0,147.0,13.0,585.0,18.0,48.0,234.0,760.0,234.0,18.0,474.0,38.0,175.0,175.0,812.0,240.0,,99.0,69.0,90.0,,35.0,21.0,49.0,56.0,715.0,15.0,234.0,112.0,336.0,1335.0,18.0,,13.0,1584.0,230.0,32.0,105.0,99.0,31306.0
2016-08-08,,20.0,,,318.0,,,55.0,132.0,,35.0,29.0,105.0,52.0,,35.0,12.0,29.0,45.0,,,27.0,20.0,87.0,110.0,,,,,,,,35.0,13.0,60.0,,,,72.0,52.0,19.0,,,,50.0,,,,,,19.0,48.0,78.0,260.0,65.0,159.0,,30.0,30.0,30.0,312.0,224.0,29.0,116.0,32.0,35.0,136.0,,,17.0,80.0,20.0,,180.0,,64.0,70.0,,33.0,,88.0,70.0,50.0,3.0,,,356.0,48.0,,66.0,40.0,,108.0,16.0,116.0,38.0,,240.0,350.0,25.0,,36.0,58.0,,109.0,,48.0,,13.0,,,24.0,78.0,190.0,78.0,18.0,,,35.0,,116.0,,16.0,33.0,,60.0,,,14.0,,,,30.0,39.0,,112.0,,,55.0,,198.0,46.0,,,33.0,6532.0
2016-08-09,99.0,,80.0,90.0,,128.0,10.0,,,,70.0,,105.0,52.0,169.0,,,,,,,81.0,20.0,,55.0,,,,,144.0,,,70.0,,60.0,45.0,,,,,19.0,176.0,,,,26.0,,50.0,,,,48.0,78.0,325.0,65.0,,58.0,,60.0,15.0,234.0,,116.0,348.0,,35.0,204.0,,,34.0,40.0,,,135.0,,64.0,70.0,,,25.0,88.0,,40.0,5.0,,178.0,178.0,32.0,,33.0,,,108.0,,,19.0,39.0,144.0,875.0,,,36.0,,9.0,109.0,90.0,,98.0,,45.0,18.0,,26.0,114.0,78.0,18.0,,38.0,,35.0,116.0,96.0,,66.0,,,,,,,28.0,55.0,15.0,,56.0,56.0,267.0,18.0,55.0,,99.0,138.0,,35.0,99.0,7155.0
2016-08-10,,5.0,80.0,90.0,159.0,,,,66.0,14.0,35.0,29.0,105.0,,,70.0,12.0,29.0,45.0,,35.0,162.0,,58.0,55.0,57.0,20.0,,,48.0,39.0,60.0,,,60.0,45.0,264.0,15.0,36.0,,19.0,176.0,,64.0,50.0,39.0,78.0,50.0,,116.0,,48.0,156.0,455.0,195.0,318.0,116.0,30.0,30.0,30.0,78.0,,58.0,232.0,,35.0,136.0,,56.0,,80.0,,,135.0,105.0,64.0,35.0,35.0,66.0,,176.0,140.0,80.0,2.0,,,534.0,16.0,,99.0,20.0,48.0,216.0,8.0,174.0,,39.0,144.0,350.0,25.0,,36.0,116.0,,,,144.0,,13.0,135.0,9.0,24.0,26.0,342.0,,,158.0,,35.0,,232.0,48.0,48.0,99.0,,30.0,,,7.0,,,220.0,,117.0,,56.0,356.0,36.0,55.0,,891.0,46.0,,70.0,33.0,10231.0
